Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"75","2012-12-09","*","Henry A. Lester","Drugs and the Brain","Coursera","2012-11-05","Biology and Life Sciences","https://www.coursera.org/course/drugsandbrain"
"89","2013-07-28","*","Magnus Egerstedt","Control of Mobile Robots","Coursera","2013-06-03","Computer Science","https://www.coursera.org/course/conrob"
"32","2012-10-07","*","Dan Boneh","Cryptography","Coursera","2012-08-27","Computer Science","https://www.coursera.org/course/crypto"
"113","2013-03-17","*","Antonio Rangel","Principles of Economics for Scientists","Coursera","2013-01-07","Economics, Finance, and Business","https://www.coursera.org/course/econ1scientists"
"118","2013-07-28","*","Vicki Colvin;Daniel Mittleman","Nanotechnology: The Basics","Coursera","2013-06-03","Electrical and Materials Engineering","https://www.coursera.org/course/nanotech"
"56","2013-03-10","*","Robert Sedgewick","Analytic Combinatorics, Part I","Coursera","2013-02-04","Mathematics and Statistics","https://www.coursera.org/course/introACpartI"
"104","2013-02-10","*","Barbara Endicott-Popovsky","Information Security and Risk Management in Context","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/inforiskman"
"44","2012-10-14","*","Andrew Conway","Statistics One","Coursera","2012-09-03","Mathematics and Statistics","https://www.coursera.org/course/stats1"
"39","2012-09-09","*","Carol Muller","Listening to World Music","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/worldmusic"
"10","2012-06-03","http://lh3.ggpht.com/ODg_QbKR_sjKmqxRfU860rusnA5DLdFrXVpmiGhnpDUuHB7w9_7Ydb4wqz-TwYYEEOTl-vgKRWtV4a9RmnE","Wes Weimer","CS262 - Programming Languages: Building a Web Browser","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs262"
"82","2012-11-04","*","Christian Terwiesch","An Introduction to Operations Management","Coursera","2012-09-24","Economics, Finance, and Business","https://www.coursera.org/course/operations"
"31","2012-07-22","*","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-06-11","Computer Science","https://www.coursera.org/course/algo"
"58","2012-08-12","http://lh3.ggpht.com/2MATQCkN-0lXJ07VO2mLf1iZi-OxjL60BN3IpJ1qvokNs3FKGbbrFem3Q9m8sOE_P6iH-_9z7DHFkT0M9ek","Andy Brown;Jonathan Burket","PH100 - Intro to Physics: Landmarks in Physics","Udacity","2012-06-25","Physics","http://www.udacity.com/overview/Course/ph100"
"3","2012-06-03","http://lh3.ggpht.com/_KfXMQlaM0fNl4cRzOeh8RiNdvEwgEwx3ZW4tryBUypXXUI2r4_SSbwPFjM70NGUB2L-n2TY1x-qmBikCQ","Steve Huffman","CS253 - Web Application Engineering: Building a Blog","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs253"
"65","2012-09-16","*","Kevin Werbach","Gamification","Coursera","2012-08-06","Economics, Finance, and Business","https://www.coursera.org/course/gamification"
"38","2012-09-30","*","Eric Rabkin","Fantasy and Science Fiction: The Human Mind, Our Modern World","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/fantasysf"
"96","2012-10-28","*","Scott Klemmer","Human-Computer Interaction","Coursera","2012-09-24","Computer Science","https://www.coursera.org/course/hci"
"123","2013-03-17","*","Dave Ward;Duncan Pritchard;Michela Massimi;Suilin Lavelle;Matthew Chrisman;Allan Hazlett;Alasdair Richmond","Introduction to Philosophy","Coursera","2013-01-28","Humanities and Social Sciences","https://www.coursera.org/course/introphil"
"81","2013-08-04","*","John Hogenesch;John Isaac Murray","Introduction to Genome Science","Coursera","2013-06-03","Biology and Life Sciences","https://www.coursera.org/course/genomescience"
"2","2012-06-10","*","Michael Genesereth","Introduction to Logic","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/intrologic"
"120","2013-03-31","*","Paolo Prandoni;Martin Vetterli","Digital Signal Processing","Coursera","2013-02-04","Electrical and Materials Engineering","https://www.coursera.org/course/dsp"
"21","2012-03-25","*","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-02-20","Computer Science","https://www.coursera.org/course/saas"
"40","2012-08-26","*","Benjamin Abella","Cardiac Arrest, Hypothermia, and Resuscitation Science","Coursera","2012-07-23","Healthcare, Medicine, and Biology","https://www.coursera.org/course/cardiacarrest"
"14","2012-07-01","*","Alex Aiken","Compilers","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/compilers"
"55","2012-12-16","*","Robert Sedgewick;Kevin Wayne","Algorithms, Part II","Coursera","2012-11-05","Computer Science","https://www.coursera.org/course/algs4partII"
"18","2011-12-14","*","Andrew Ng","Introduction to Machine Learning","Coursera","2011-11-01","Computer Science","https://www.coursera.org/course/ml"
"100","2013-02-24","*","Enseignant: Sera communiqué ultérieurement","Introduction à la Programmation Objet (in French)","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/java-fr"
"108","2013-02-10","*","Jeffrey Ullman","Automata","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/automata"
"128","2013-03-17","*","Jeff Leek","Data Analysis","Coursera","2013-01-22","Mathematics and Statistics","https://www.coursera.org/course/dataanalysis"
"98","2013-03-10","*","Alex Aiken","Compilers","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/compilers"
"85","2012-10-28","*","Andrew Ng","Machine Learning","Coursera","2012-08-20","Computer Science","https://www.coursera.org/course/ml"
"95","2012-11-11","*","Jennifer Campbell;Paul Gries","Learn to Program: The Fundamentals","Coursera","2012-09-24","Computer Science","https://www.coursera.org/course/programming1"
"124","2013-02-17","*","Walter Sinnott-Armstrong;Ram Neta","Think Again: How to Reason and Argue","Coursera","2012-11-26","Humanities and Social Sciences","https://www.coursera.org/course/thinkagain"
"25","2012-05-06","*","Chris Manning;Dan Jurafsky","Natural Language Processing","Coursera","2012-03-12","Computer Science","https://www.coursera.org/course/nlp"
"12","2012-06-03","*","Nick Parlante","Computer Science (CS101)","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/cs101"
